question_id,subjects
68,"['Maths', 'Geometry and Measure', 'Construction, Loci and Scale Drawing', 'Construct Angle and Line Bisectors']"
222,"['Maths', 'Geometry and Measure', 'Basic Vectors', 'Vector Geometry']"
819,"['Maths', 'Geometry and Measure', 'Enlargement', 'Transformations']"
1131,"['Maths', 'Number', 'Decimals', 'Ordering Decimals']"
1574,"['Maths', 'Number', 'Decimals', 'Ordering Decimals']"
570,"['Maths', 'Geometry and Measure', 'Reflection', 'Transformations']"
1152,"['Maths', 'Number', 'Percentages', 'Percentage Increase and Decrease']"
1283,"['Maths', 'Number', 'Percentages', 'Reverse Percentages (Original Amount)']"
1366,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to Decimal Places']"
97,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to Decimal Places']"
249,"['Maths', 'Algebra', 'Inequalities', 'Graphing Linear Inequalities (Shading Regions)']"
748,"['Maths', 'Data and Statistics', 'Histogram', 'Data Representation']"
1724,"['Maths', 'Data and Statistics', 'Histogram', 'Data Representation']"
932,"['Maths', 'Algebra', 'Rearranging Formula and Equations', 'Formula']"
758,"['Maths', 'Algebra', 'Rearranging Formula and Equations', 'Formula']"
382,"['Maths', 'Number', 'Percentages', 'Percentage Increase and Decrease']"
1623,"['Maths', 'Algebra', 'Formula', 'Writing Formula']"
1168,"['Maths', 'Algebra', 'Transformation of Functions', 'Transformations of functions in the form y =']"
1016,"['Maths', 'Number', 'Ratio', 'Simplifying and Equivalent Ratios']"
1482,"['Maths', 'Number', 'Surds', 'Simplifying Surds', 'Operations with Surds']"
709,"['Maths', 'Geometry and Measure', 'Angles', 'Circle Theorems']"
1255,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
255,"['Maths', 'Data and Statistics', 'Data Processing', 'Averages and Range from Frequency Table']"
1049,"['Maths', 'Number', 'Negative Numbers', 'Multiplying and Dividing Negative Numbers']"
854,"['Maths', 'Number', 'Upper and Lower Bounds', 'Rounding and Estimating']"
595,"['Maths', 'Number', 'Upper and Lower Bounds', 'Rounding and Estimating']"
183,"['Maths', 'Number', 'Upper and Lower Bounds', 'Rounding and Estimating']"
576,"['Maths', 'Data and Statistics', 'Cumulative Frequency Diagram', 'Data Representation']"
1451,"['Maths', 'Data and Statistics', 'Cumulative Frequency Diagram', 'Data Representation']"
1589,"['Maths', 'Number', 'Basic Arithmetic', 'Written Multiplication']"
67,"['Maths', 'Number', 'Basic Arithmetic', 'Written Multiplication']"
912,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Prime Numbers and Prime Factors']"
1217,"['Maths', 'Data and Statistics', 'Probability', 'Combined Events']"
1326,"['Maths', 'Number', 'Basic Arithmetic', 'Place Value', 'Mental Multiplication and Division']"
19,"['Maths', 'Geometry and Measure', '2D Pythagoras', 'Pythagoras']"
96,"['Maths', 'Number', 'Surds', 'Simplifying Surds']"
1386,"['Maths', 'Algebra', 'Straight Line Graphs', 'Finding the Gradient and Intercept of a Line from the Equation']"
169,"['Maths', 'Algebra', 'Graphs of Trigonometric Functions', 'Other Graphs']"
1015,"['Maths', 'Geometry and Measure', 'Plans and Elevations', '3D Shapes']"
902,"['Maths', 'Number', 'Basic Arithmetic', 'Written Multiplication']"
966,"['Maths', 'Number', 'Basic Arithmetic', 'Written Multiplication']"
1486,"['Maths', 'Geometry and Measure', 'Basic Trigonometry', 'Right-angled Triangles (SOHCAHTOA)']"
1068,"['Maths', 'Algebra', 'Inequalities', 'Solving Quadratic Inequalities']"
1514,"['Maths', 'Algebra', 'Quadratic Graphs', 'Sketching from Completing the Square Form']"
1071,"['Maths', 'Algebra', 'Quadratic Graphs', 'Sketching from Completing the Square Form']"
288,"['Maths', 'Geometry and Measure', 'Symmetry', '3D Plane Symmetry']"
977,"['Maths', 'Geometry and Measure', 'Symmetry', 'Rotational Symmetry']"
605,"['Maths', 'Geometry and Measure', 'Symmetry', 'Rotational Symmetry']"
444,"['Maths', 'Geometry and Measure', 'Symmetry', 'Line Symmetry']"
1627,"['Maths', 'Data and Statistics', 'Averages and Range from Grouped Data', 'Data Processing']"
1356,"['Maths', 'Geometry and Measure', 'Circles', 'Area of a Circle']"
506,"['Maths', 'Algebra', 'Transformation of Functions', 'Transformations of functions in the form f(x)']"
176,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
917,"['Maths', 'Algebra', 'Sequences', 'Quadratic Sequences']"
1121,"['Maths', 'Geometry and Measure', 'Basic Trigonometry', 'Right-angled Triangles (SOHCAHTOA)']"
1690,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to the Nearest Whole (10, 100, etc)']"
398,"['Maths', 'Advanced Pure', 'Exponentials and Logarithms', 'Laws of Logarithms']"
524,"['Maths', 'Advanced Pure', 'Functions', 'Inverse Functions']"
1464,"['Maths', 'Number', 'Indices, Powers and Roots', 'Laws of Indices']"
1640,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Dividing Terms']"
1282,"['Maths', 'Algebra', 'Quadratic Equations', 'Solving Equations']"
1736,"['Maths', 'Data and Statistics', 'Scatter Diagram', 'Data Representation']"
753,"['Maths', 'Number', 'Basic Money', 'Money']"
956,"['Maths', 'Number', 'Basic Money', 'Money']"
886,"['Maths', 'Number', 'Basic Money', 'Money']"
1143,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction']"
464,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction', 'Mental Multiplication and Division']"
461,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Time']"
431,"['Maths', 'Algebra', 'Factorising', 'Completing the Square']"
774,"['Maths', 'Algebra', 'Straight Line Graphs', 'Parallel Lines']"
292,"['Maths', 'Number', 'Fractions', 'Multiplying Fractions']"
1556,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to Significant Figures']"
734,"['Maths', 'Algebra', 'Straight Line Graphs', 'Co-ordinates', 'Gradient as change in y over change in x', 'Gradient Between Two Co-ordinates']"
816,"['Maths', 'Geometry and Measure', 'Area of Simple Shapes', 'Perimeter and Area']"
212,"['Maths', 'Geometry and Measure', 'Angles', 'Angles in Polygons']"
1459,"['Maths', 'Geometry and Measure', 'Similarity and Congruency', 'Length, Area and Volume Scale Factors']"
936,"['Maths', 'Geometry and Measure', 'Length Scale Factors in Similar Shapes', 'Similarity and Congruency', 'Length, Area and Volume Scale Factors']"
1055,"['Maths', 'Geometry and Measure', 'Similarity and Congruency', 'Length, Area and Volume Scale Factors']"
542,"['Maths', 'Data and Statistics', 'Averages and Range from Grouped Data', 'Cumulative Frequency Diagram', 'Data Processing', 'Data Representation']"
1259,"['Maths', 'Data and Statistics', 'Cumulative Frequency Diagram', 'Data Representation']"
622,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction', 'Mental Multiplication and Division']"
201,"['Maths', 'Number', 'Negative Numbers', 'Adding and Subtracting Negative Numbers']"
1449,"['Maths', 'Geometry and Measure', 'Perimeter', 'Perimeter and Area']"
1198,"['Maths', 'Data and Statistics', 'Box Plots', 'Data Representation']"
1607,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
41,"['Maths', 'Algebra', 'Sequences', 'Quadratic Sequences']"
1702,"['Maths', 'Number', 'Fractions', 'Fractions of an Amount', 'Ordering Fractions']"
685,"['Maths', 'Number', 'Decimals', 'Adding and Subtracting with Decimals']"
588,"['Maths', 'Data and Statistics', 'Averages (mean, median, mode) from a List of Data', 'Data Processing']"
826,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Simplifying Expressions by Collecting Like Terms']"
1492,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
35,"['Maths', 'Geometry and Measure', 'Reflection', 'Transformations']"
1264,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Length Units']"
386,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Length Units']"
624,"['Maths', 'Number', 'Money', 'Currency Conversions']"
88,"['Maths', 'Data and Statistics', 'Averages (mean, median, mode) from a List of Data', 'Data Processing']"
1421,"['Maths', 'Algebra', 'Co-ordinates', 'Naming Co-ordinates in 2D']"
1208,"['Maths', 'Algebra', 'Co-ordinates', 'Naming Co-ordinates in 2D']"
1180,"['Maths', 'Algebra', 'Simultaneous Equations', 'Solving Equations']"
456,"['Maths', 'Geometry and Measure', 'Angles', 'Circle Theorems']"
69,"['Maths', 'Geometry and Measure', 'Basic Vectors', 'Vector Geometry']"
267,"['Maths', 'Geometry and Measure', 'Basic Vectors', 'Vector Geometry']"
1230,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions', 'Simplifying Expressions by Collecting Like Terms']"
594,"['Maths', 'Number', 'Indices, Powers and Roots', 'Laws of Indices']"
1398,"['Maths', 'Geometry and Measure', '2D Pythagoras', 'Pythagoras']"
1406,"['Maths', 'Geometry and Measure', 'Volume and Surface Area', 'Volume of Prisms']"
157,"['Maths', 'Number', 'Proportion', 'Indirect (Inverse) Proportion']"
349,"['Maths', 'Number', 'Proportion', 'Direct Proportion']"
1676,"['Maths', 'Number', 'Basic Arithmetic', 'Written Subtraction']"
621,"['Maths', 'Algebra', 'Transformation of Functions', 'Transformations of functions in the form f(x)']"
465,"['Maths', 'Algebra', 'Substitution into Formula', 'Formula']"
1437,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction']"
812,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction']"
1641,"['Maths', 'Number', 'Fractions', 'Fractions of an Amount', 'Equivalent Fractions']"
1388,"['Maths', 'Number', 'Fractions', 'Adding and Subtracting Fractions']"
603,"['Maths', 'Geometry and Measure', 'Properties of Polygons', 'Properties of Quadrilaterals', '2D Names and Properties of Shapes']"
392,"['Maths', 'Number', 'Negative Numbers', 'Ordering Negative Numbers']"
929,"['Maths', 'Number', 'Decimals', 'Multiplying and Dividing with Decimals']"
1548,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to Decimal Places']"
61,"['Maths', 'Number', 'Percentages', 'Percentage Increase and Decrease']"
943,"['Maths', 'Number', 'Ratio', 'Sharing in a Ratio']"
522,"['Maths', 'Data and Statistics', 'Data Representation', 'Venn Diagrams']"
339,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Volume and Surface Area', 'Volume of Prisms', 'Volume and Capacity Units']"
1694,"['Maths', 'Geometry and Measure', 'Volume and Surface Area', 'Volume of Prisms']"
229,"['Maths', 'Data and Statistics', 'Pictogram', 'Data Representation']"
393,"['Maths', 'Data and Statistics', 'Block Graphs and Bar Charts', 'Data Representation']"
1239,"['Maths', 'Geometry and Measure', 'Basic Trigonometry', 'Right-angled Triangles (SOHCAHTOA)']"
1716,"['Maths', 'Data and Statistics', 'Tree Diagrams with Dependent Events', 'Probability']"
1562,"['Maths', 'Data and Statistics', 'Tree Diagrams with Dependent Events', 'Probability']"
749,"['Maths', 'Algebra', 'Expanding Brackets', 'Expanding Triple Brackets and more']"
1090,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Prime Numbers and Prime Factors']"
1550,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Prime Numbers and Prime Factors']"
795,"['Maths', 'Data and Statistics', 'Cumulative Frequency Diagram', 'Data Representation']"
479,"['Maths', 'Data and Statistics', 'Box Plots', 'Data Representation']"
1606,"['Maths', 'Data and Statistics', 'Box Plots', 'Data Representation']"
365,"['Maths', 'Data and Statistics', 'Box Plots', 'Data Representation']"
517,"['Maths', 'Geometry and Measure', 'Reflection', 'Transformations']"
873,"['Maths', 'Number', 'Ratio', 'Find Missing Quantities']"
1436,"['Maths', 'Number', 'Ratio', 'Find Missing Quantities']"
927,"['Maths', 'Number', 'Money', 'Currency Conversions']"
1750,"['Maths', 'Number', 'Fractions', 'Equivalent Fractions']"
1099,"['Maths', 'Data and Statistics', 'Stem and Leaf Diagram', 'Data Representation']"
707,"['Maths', 'Algebra', 'Inequalities', 'Inequalities on Number Lines']"
1543,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
202,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction']"
1480,"['Maths', 'Algebra', 'Algebraic Fractions', 'Adding and Subtracting Algebraic Fractions']"
1693,"['Maths', 'Number', 'Decimals', 'Adding and Subtracting with Decimals']"
195,"['Maths', 'Number', 'Percentages', 'Percentages of an Amount']"
756,"['Maths', 'Geometry and Measure', 'Area of Simple Shapes', 'Perimeter and Area']"
258,"['Maths', 'Geometry and Measure', 'Angles', 'Angles in Triangles']"
1435,"['Maths', 'Geometry and Measure', 'Angles', 'Angles in Triangles']"
986,"['Maths', 'Data and Statistics', 'Averages and Range from Grouped Data', 'Data Processing']"
921,"['Maths', 'Algebra', 'Quadratic Equations', 'Solving Equations']"
934,"['Maths', 'Geometry and Measure', 'Basic Trigonometry', 'Non Right-angled Triangles (Sine and Cosine Rules)']"
1430,"['Maths', 'Algebra', 'Rearranging Formula and Equations', 'Formula']"
1711,"['Maths', 'Geometry and Measure', 'Compound Measures', 'Speed, Distance, Time']"
863,"['Maths', 'Algebra', 'Substitution into Formula', 'Formula']"
1035,"['Maths', 'Number', 'Indices, Powers and Roots', 'Square Roots, Cube Roots, etc']"
591,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Expanding Brackets', 'Simplifying Expressions by Collecting Like Terms', 'Multiplying Terms', 'Dividing Terms', 'Expanding Triple Brackets and more']"
599,"['Maths', 'Algebra', 'Expanding Brackets', 'Expanding Triple Brackets and more']"
137,"['Maths', 'Geometry and Measure', 'Angles', 'Angles in Triangles']"
658,"['Maths', 'Algebra', 'Quadratic Equations', 'Solving Equations']"
706,"['Maths', 'Number', 'Proportion', 'Direct Proportion']"
644,"['Maths', 'Algebra', 'Substitution into Formula', 'Formula']"
1294,"['Maths', 'Geometry and Measure', 'Volume and Surface Area', 'Surface Area of Prisms']"
375,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Volume and Capacity Units']"
722,"['Maths', 'Geometry and Measure', 'Units of Measurement', 'Length Units']"
954,"['Maths', 'Algebra', 'Linear Equations', 'Solving Equations']"
1358,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to the Nearest Whole (10, 100, etc)']"
1355,"['Maths', 'Number', 'Basic Arithmetic', 'Place Value', 'Mental Addition and Subtraction']"
91,"['Maths', 'Geometry and Measure', 'Angles', 'Angles in Triangles']"
623,"['Maths', 'Number', 'Ratio', 'Writing Ratios']"
655,"['Maths', 'Number', 'Geometry and Measure', 'Units of Measurement', 'Rounding and Estimating', 'Length Units', 'Estimation']"
1475,"['Maths', 'Number', 'Geometry and Measure', 'Units of Measurement', 'Rounding and Estimating', 'Length Units', 'Estimation']"
1772,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions']"
1091,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions']"
590,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions']"
1206,"['Maths', 'Advanced Pure', 'Functions', 'Inverse Functions']"
1263,"['Maths', 'Algebra', 'Quadratic Graphs', 'Quadratic Equations', 'Solving Equations', 'Graphical Solution of Quadratic Equations']"
370,"['Maths', 'Algebra', 'Trial and Improvement and Iterative Methods', 'Solving Equations']"
1184,"['Maths', 'Algebra', 'Sequences', 'Other Sequences']"
1413,"['Maths', 'Number', 'Negative Numbers', 'Adding and Subtracting Negative Numbers', 'Multiplying and Dividing Negative Numbers']"
769,"['Maths', 'Number', 'Fractions', 'Fractions of an Amount']"
1594,"['Maths', 'Number', 'Negative Numbers', 'Multiplying and Dividing Negative Numbers']"
1651,"['Maths', 'Algebra', 'Straight Line Graphs', 'Finding the Gradient and Intercept of a Line from the Equation', 'Parallel Lines', 'Co-ordinate Geometry with Straight Lines']"
1107,"['Maths', 'Algebra', 'Simultaneous Equations', 'Solving Equations']"
1172,"['Maths', 'Data and Statistics', 'Data Representation', 'Frequency Trees']"
1742,"['Maths', 'Data and Statistics', 'Data Representation', 'Frequency Trees']"
276,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
1440,"['Maths', 'Geometry and Measure', 'Congruency in Triangles', 'Similarity and Congruency']"
1579,"['Maths', 'Algebra', 'Transformation of Functions', 'Transformations of functions in the form y =']"
738,"['Maths', 'Algebra', 'Graphs of Trigonometric Functions', 'Geometry and Measure', 'Basic Trigonometry', 'Other Graphs', 'Right-angled Triangles (SOHCAHTOA)']"
976,"['Maths', 'Number', 'Upper and Lower Bounds', 'Geometry and Measure', 'Area of Simple Shapes', 'Rounding and Estimating', 'Perimeter and Area']"
1241,"['Maths', 'Algebra', 'Algebraic Fractions', 'Adding and Subtracting Algebraic Fractions']"
148,"['Maths', 'Algebra', 'Algebraic Fractions', 'Adding and Subtracting Algebraic Fractions']"
1185,"['Maths', 'Number', 'Basic Arithmetic', 'Counting', 'Mental Addition and Subtraction', 'Written Addition']"
1457,"['Maths', 'Number', 'Percentages', 'Repeated Percentages and Compound Interest']"
92,"['Maths', 'Algebra', 'Expanding Single Brackets', 'Inequalities', 'Expanding Brackets', 'Solving Linear Inequalities']"
1429,"['Maths', 'Number', 'Indices, Powers and Roots', 'Negative Numbers', 'Multiplying and Dividing Negative Numbers', 'Squares, Cubes, etc', 'Laws of Indices']"
1036,"['Maths', 'Geometry and Measure', 'Translation and Vectors', 'Basic Vectors', 'Transformations', 'Add and Subtract Vectors']"
1221,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Ratio', 'Converting between Fractions and Decimals', 'Converting between Fractions and Percentages', 'Sharing in a Ratio']"
1608,"['Maths', 'Number', 'Indices, Powers and Roots', 'Squares, Cubes, etc']"
919,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Converting between Fractions and Decimals']"
786,"['Maths', 'Number', 'Decimals', 'Negative Numbers', 'Basic Arithmetic', 'Place Value', 'Ordering Negative Numbers', 'Ordering Decimals']"
900,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Factors and Highest Common Factor']"
527,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
781,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
1732,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Factors and Highest Common Factor']"
973,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Prime Numbers and Prime Factors']"
1367,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Multiplication and Division']"
101,"['Maths', 'Geometry and Measure', 'Basic Trigonometry', 'Right-angled Triangles (SOHCAHTOA)']"
1339,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Multiples and Lowest Common Multiple']"
416,"['Maths', 'Algebra', 'Sequences', 'Linear Sequences (nth term)']"
1257,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Converting between Fractions and Decimals']"
483,"['Maths', 'Geometry and Measure', 'Volume and Surface Area', 'Surface Area of Prisms']"
659,"['Maths', 'Algebra', 'Expanding Double Brackets', 'Expanding Brackets']"
788,"['Maths', 'Geometry and Measure', 'Perimeter and Area', 'Compound Area']"
1669,"['Maths', 'Geometry and Measure', 'Angles', 'Angle Facts with Parallel Lines']"
1703,"['Maths', 'Geometry and Measure', 'Angles', 'Bearings']"
228,"['Maths', 'Geometry and Measure', 'Area of Simple Shapes', 'Perimeter and Area']"
1020,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions']"
711,"['Maths', 'Advanced Pure', 'Functions', 'Function Notation']"
463,"['Maths', 'Number', 'Fractions', 'Fractions of an Amount']"
596,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Converting between Fractions and Decimals']"
49,"['Maths', 'Number', 'Fractions', 'Adding and Subtracting Fractions']"
1447,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Recurring Decimals to Fractions']"
763,"['Maths', 'Geometry and Measure', 'Perimeter', 'Perimeter and Area']"
521,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Writing Expressions']"
1587,"['Maths', 'Number', 'Rounding and Estimating', 'Rounding to Significant Figures']"
1109,"['Maths', 'Number', 'Upper and Lower Bounds', 'Rounding and Estimating']"
165,"['Maths', 'Data and Statistics', 'Pie Chart', 'Data Representation']"
1566,"['Maths', 'Data and Statistics', 'Block Graphs and Bar Charts', 'Data Processing', 'Averages and Range from Frequency Table', 'Data Representation']"
968,"['Maths', 'Data and Statistics', 'Pie Chart', 'Data Representation']"
1001,"['Maths', 'Data and Statistics', 'Block Graphs and Bar Charts', 'Data Representation']"
631,"['Maths', 'Number', 'Percentages', 'Repeated Percentages and Compound Interest']"
535,"['Maths', 'Number', 'Basic Arithmetic', 'Written Division']"
760,"['Maths', 'Algebra', 'Sequences', 'Other Sequences']"
410,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Prime Numbers and Prime Factors']"
1706,"['Maths', 'Algebra', 'Straight Line Graphs', 'Perpendicular Lines']"
300,"['Maths', 'Algebra', 'Co-ordinates', 'Midpoint Between Two Co-ordinates']"
922,"['Maths', 'Algebra', 'Straight Line Graphs', 'Perpendicular Lines']"
40,"['Maths', 'Number', 'Percentages', 'Percentages of an Amount']"
914,"['Maths', 'Geometry and Measure', 'Circles', 'Circumference', 'Area of a Circle']"
984,"['Maths', 'Geometry and Measure', 'Angles', 'Properties of Polygons', '2D Names and Properties of Shapes', 'Angles in Polygons']"
62,"['Maths', 'Geometry and Measure', 'Angles', 'Basic Angle Facts (straight line, opposite, around a point, etc)', 'Angles in Polygons']"
799,"['Maths', 'Number', 'Fractions', 'Adding and Subtracting Fractions']"
645,"['Maths', 'Number', 'Indices, Powers and Roots', 'Squares, Cubes, etc']"
79,"['Maths', 'Number', 'Indices, Powers and Roots', 'Algebra', 'Writing and Simplifying Expressions', 'Laws of Indices', 'Multiplying Terms', 'Dividing Terms']"
636,"['Maths', 'Data and Statistics', 'Data Representation', 'Venn Diagrams']"
1191,"['Maths', 'Algebra', 'Factorising into a Double Bracket', 'Factorising']"
1709,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Converting between Fractions and Decimals']"
635,"['Maths', 'Number', 'Indices, Powers and Roots', 'Standard Form']"
1309,"['Maths', 'Number', 'Indices, Powers and Roots', 'Standard Form']"
800,"['Maths', 'Advanced Pure', 'Matrices', 'Addition and Subtraction of Matrices']"
1420,"['Maths', 'Number', 'Fractions, Decimals and Percentage Equivalence', 'Converting between Fractions and Decimals']"
122,"['Maths', 'Algebra', 'Substitution into Formula', 'Formula']"
161,"['Maths', 'Number', 'Indices, Powers and Roots', 'Laws of Indices']"
867,"['Maths', 'Number', 'Upper and Lower Bounds', 'Rounding and Estimating']"
780,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Multiplying Terms']"
572,"['Maths', 'Algebra', 'Writing and Simplifying Expressions', 'Dividing Terms']"
1632,"['Maths', 'Algebra', 'Algebraic Fractions', 'Adding and Subtracting Algebraic Fractions']"
210,"['Maths', 'Algebra', 'Expanding Single Brackets', 'Expanding Brackets']"
1333,"['Maths', 'Geometry and Measure', 'Perimeter', 'Perimeter and Area']"
317,"['Maths', 'Number', 'Surds', 'Simplifying Surds']"
1189,"['Maths', 'Number', 'Surds', 'Rationalising the Denominator']"
589,"['Maths', 'Number', 'Factors, Multiples and Primes', 'Factors and Highest Common Factor']"
1521,"['Maths', 'Number', 'Basic Arithmetic', 'Mental Addition and Subtraction', 'Written Subtraction']"
306,"['Maths', 'Number', 'Basic Arithmetic', 'Systematic Listing Strategies']"
509,"['Maths', 'Number', 'Basic Arithmetic', 'Basic Arithmetic-Others', 'Roman Numerals']"
861,"['Maths', 'Geometry and Measure', 'Reflection', 'Transformations']"
